,season,episode,title,story,rating,date
10,S1,E11,The Pancake Batter Anomaly,"Germaphobe Sheldon is more hyper-vigilant than ever after Penny comes back from Nebraska where she was visiting with family who were sick with an unknown bug. Regardless, Sheldon does come down with a bug. Leonard enacts ""Code Milky Green"", a protocol between himself, Howard and Raj to avoid Sheldon at all cost because of his illness. They decide to attend a Planet of the Apes (1968) marathon at a local cinema. So Sheldon turns to the only person left, Penny, who is unaware of Code Milky Green. But when Leonard's glasses break at the cinema with his only spare pair at the apartment, he has to decide if it is worth the risk to go back to the apartment or watch a bunch of totally fuzzy looking apes for 10 hours. —Huggo",8.2,"Mon, Mar 31, 2008"
11,S1,E12,The Jerusalem Duality,"Fifteen year old genius Dennis Kim is a physics doctoral candidate who Gablehauser wants at the college at any cost. Dennis is much like Sheldon was at that age, with the ego and arrogance to match. As such, Sheldon doesn't like Dennis, especially after Dennis criticizes Sheldon's work on string theory, which is his primary research. But Sheldon realizes that one of the comments Dennis makes about his research is indeed true. For Sheldon, this realization means the end of his life as he knows it. Much to his genius friends' chagrin, Sheldon needs to find something academic to do, and who better to do it with than other geniuses (albeit less so than him). So Leonard, Howard and Raj decide that to get Sheldon back to the top of the heap status they need to take Dennis down a few notches by refocusing his fifteen year old mind on more pubescent pursuits. —Huggo",7.8,"Mon, Apr 14, 2008"
12,S1,E13,The Bat Jar Conjecture,"With the perennial winning team not participating this year, Leonard, Howard and Raj feel that their foursome are the sure winners of this year's edition of the university's physics bowl. They have to talk a reluctant Sheldon into entering with them, which they do manage to do. They regret doing so after Sheldon takes control of everything and as such has taken any fun out of the process. After the threesome kick Sheldon off their team, Sheldon vows revenge by forming his own team. Despite Leonard's discomfort with the idea, they decide to ask Leslie Winkle to be Sheldon's replacement, who declines until she learns that they are planning on destroying Sheldon in the process. During their match, Sheldon, who believes he is basically fielding a one man team (his teammates are a janitor, the lunch floor monitor and her son), has to decide what is the most important goal. —Huggo",8.2,"Mon, Apr 21, 2008"
13,S1,E14,The Nerdvana Annihilation,"Leonard buys a replica time machine online. As the boys move it into the apartment they accidentally make Penny late for work causing her to lash out at Leonard for his nerdy ways. Upset, Leonard decides to get rid of all his 'nerdmabelia' and the guys try to convince him not to. —Anonymous",8.0,"Mon, Apr 28, 2008"
14,S1,E15,The Pork Chop Indeterminacy,"The guys are surprised to see a beautiful young woman in Sheldon's office. They are even more surprised when they learn that she is Sheldon's fraternal twin sister, Missy Cooper, who is in town only for two days to attend a friend's wedding. Against Sheldon's wishes, Leonard invites her to stay with them, which she accepts. Leonard, Howard and even Raj (who is participating in a pharmaceutical study, which includes testing a new drug to overcome extreme shyness) fawn over Missy. Using the argument of potential genius offspring, Leonard convinces Sheldon, who abhors physical and emotional contact even with family, that he needs to act brotherly in looking out for Missy's best interests when it comes to finding a suitable boyfriend. Who better in that role than his roommate. Ultimately, the guys come to a solution on who should pursue Missy. But what will Missy have to say about their choice? —Huggo",8.2,"Mon, May 5, 2008"
15,S1,E16,The Peanut Reaction,"Penny wishes Leonard a happy birthday which she knows is this upcoming Saturday, when she expects him to at least come in for his free piece of birthday cake at the restaurant. She is shocked to learn that Leonard not only does not celebrate his birthday, but that he's never had a birthday party. Regardless of Leonard's wants, Penny decides to throw him a surprise party. Although she gets help from Sheldon, Howard and Raj, the preparation for the party does not go to her plans, including needing to help Sheldon buy a gift, Howard not being able to get Leonard out of the apartment, and Raj not being able to decorate the apartment since Leonard's there. Will Leonard enjoy his first birthday party after all this difficult effort? —Huggo",8.3,"Mon, May 12, 2008"
16,S1,E17,The Tangerine Factor,"Penny has just broken up with her latest boyfriend Mike who blogged about their sex life. Besides feeling embarrassed about the blog contents, she's angry with herself for what she sees as her poor choice in men, who all seem to fit into the same mold. After a few discussions between the two on her break-up and a few tantrums on Penny's part, Leonard finally asks Penny out on an official date. Penny agrees despite or perhaps because Leonard does not fit into that mold. Afterward, Penny has second thoughts about going on a date with Leonard and speaks to the one person who she feels can place the best perspective on it: Sheldon. Leonard too has second thoughts and speaks to his best friend, Sheldon. Using the analogy of Schrödinger's cat, Sheldon tells both individually that they have to risk opening the box to find out what's inside. Will either do so? —Huggo",8.5,"Mon, May 19, 2008"
17,S2,E1,The Bad Fish Paradigm,"After his and Penny's first date, Leonard is in denial about what Penny's non-committal attitude toward a second date means. In reality and what Penny divulges to Sheldon in confidence is that her non-committal attitude is due to feeling intellectually inadequate, so much so that she even lied to Leonard about finishing community college. She is afraid that Leonard will ultimately get bored with her. The problem with Sheldon is that she told him this information before she vowed him to secrecy. Knowing that there is no way he can keep this secret from Leonard, Sheldon takes extreme measures to ensure that he keeps his promise to Penny. But these measures have a profound effect on both Howard and Raj, who may force Sheldon back to the situation of telling Leonard. —Huggo",8.2,"Mon, Sep 22, 2008"
18,S2,E2,The Codpiece Topology,"Leonard does not want to admit that he felt awkward seeing Penny on a date with another man. Leonard states to the guys that he is happy that Penny is moving on with her life, as has he. However, they all know that there is no other woman yet in Leonard's life. Against Sheldon's sensibilities, Raj suggests to Leonard that he ask Leslie Winkle out again. Surprisingly, Leslie is open to the idea as she is no longer using sex solely as an occasional to rarely used stress reliever. Leslie suggests they pursue a traditional dating ritual with the objective of marriage and children. Because Leslie and Leonard are dating, Sheldon tries to convince Penny to hook-up with Leonard again. But if Penny doesn't comply, he may make Leonard choose between Leslie and him. —Huggo",8.0,"Mon, Sep 29, 2008"
19,S2,E3,The Barbarian Sublimation,"Penny is having an emotional meltdown about her stay in southern California. She hasn't had an acting job in two years, she hasn't had a raise at the restaurant during that time, and she hasn't had sex in six months. In her frustration, she accidentally swallowed a fly and got her car key stuck in her apartment door lock. Not being able to get into her apartment until the locksmith shows up, she waits with Sheldon in his apartment, where he is playing Age of Conan: Hyborian Adventures (2008) on-line. Sheldon lets her try the game, and she enjoys it so much, she gets hooked. He's created an on-line video gaming monster, she who is playing 24/7 and who looks to Sheldon - 24/7 - for advice on every move. As the guys and Leslie postulate what is the underlying cause for Penny's addiction, they come to a conclusion of what Penny needs to get her out of this funk, and the guys do whatever they can to help her get it. —Huggo",8.7,"Mon, Oct 6, 2008"
20,S2,E4,The Griffin Equivalency,"Because of his finding and reporting of a previously unknown planetary object, Raj has been named one of People magazine's ""30 Under 30 to Watch"". In his usual manner, Sheldon mocks this achievement, which hurts Raj's feelings. Regardless, Raj becomes Gablehauser's new star because of the notoriety of the article and the associated money coming into the department. Along with Gablehauser's gushing comes some perks available only to Raj. Raj's fifteen minutes of fame starts to go to his head. He starts to alienate Leonard, Sheldon and Howard. Penny doesn't understand why his friends aren't providing Raj with the support he deserves, especially in attending the magazine's reception on the article. She's the only one of the four attending the function with Raj, hence she'll be his ""date"", which silently gnaws at Leonard. But Sheldon sees Raj's absence from the group as a potential opportunity. —Huggo",7.9,"Mon, Oct 13, 2008"
21,S2,E5,The Euclid Alternative,"Leonard is unable to drive Sheldon to work for the next couple of weeks, leaving Sheldon, who refuses to take the bus, to find an alternate ride for the commute. After going through Penny then Howard then Raj, alienating each in those drives, Sheldon has run out of friends who will drive him. They come up with what they think is the best solution for all: that Sheldon learn how to drive himself. But can a genius in theoretical applications master an everyday mundane task that involves the unpredictable decisions of other people? —Huggo",8.3,"Mon, Oct 20, 2008"
22,S2,E6,The Cooper-Nowitzki Theorem,"Leonard and Sheldon make an orientation presentation to the incoming graduate physics class, most of whom have a ""deer in the headlights"" look when listening to Sheldon's speech. One student in particular, though, looks that way for a different reason. Ramona Nowitzki is enthralled with everything about Sheldon. Sheldon is oblivious to Ramona's romantic intentions, despite her being obvious in her pursuit. He does however enjoy the idolatry she bestows upon him, and the associated slave work she does for him. Leonard, Howard, Raj and Penny are amazed by what is happening between the two - especially Penny, who has never discussed with the guys what Sheldon uses as a sexual surrogate - and watch the interaction whenever they can out of pure curiosity except when it gets to be too embarrassingly gross in their view. But does even Sheldon have a limit on how much idol worship he can take? —Huggo",8.2,"Mon, Nov 3, 2008"
23,S2,E7,The Panty Piñata Polarization,"After Penny exposes the guys to it on television, they, excluding Sheldon, have a new passion in life: America's Next Top Model (2003). Specifically, Howard and Raj are trying to determine exactly where the house the models are living in is located, so that the two can go there each week to prey on the insecurities of the latest model kicked off the show. No expense is too small to achieve their goal. Meanwhile, Penny decides to take a stance against Sheldon's ""three strikes, you're out"" policy, she who has reached Sheldon's third strike when she takes that stance. Despite Leonard's advice to Penny to knuckle under to Sheldon like they all do, Penny decides to play games of oneupmanship with Sheldon to the end. —Huggo",8.6,"Mon, Nov 10, 2008"
24,S2,E8,The Lizard-Spock Expansion,"Howard calls the guys into the Mars rover control room on an emergency. He maneuvered the rover into a crevice, and he needs some help from Sheldon and Raj to maneuver it out. Leonard's task is to get Stephanie, the girl Howard sneaked into the control room, out of the facility, she who doesn't have clearance to be there. On Leonard's task to drive Stephanie home, Stephanie and Leonard hook up. She's a medical doctor with a high libido. Despite Stephanie's assertion that Howard had no chance with her (she went with him since he told her she could drive a car on Mars), Leonard feels guilty, especially in that he wants to see her again. What makes it worse for Leonard is that he knows that Howard still thinks he's dating her. Leonard has to figure out what to do to reconcile dating Stephanie while still being friends with Howard. —Huggo",8.0,"Mon, Nov 17, 2008"
25,S2,E9,The White Asparagus Triangulation,"Leonard and Stephanie's budding romance has an unlikely supporter: Sheldon. Being a highly respected physician, Stephanie is the first of Leonard's few girlfriends who meets Sheldon's criteria of someone who he can more than tolerate. To ensure that Leonard doesn't screw it up, Sheldon not only insists on accompanying them on any date, but vows to take control of anything Leonard does to advance the relationship. He feels he needs to based on Leonard's poor track record with women. He even asks Penny, Raj and Howard for advice. Sheldon's actions don't quite have the desired effect. —Huggo",8.1,"Mon, Nov 24, 2008"
26,S2,E10,The Vartabedian Conundrum,"With Leonard now dating Stephanie, Sheldon's hypochondria kicks into high gear. Instead of ensuring Leonard's relationship with her is maintained, Sheldon now takes advantage of it by asking Stephanie to do a plethora of tests and examinations on him to figure out what ails him. Sheldon doesn't feel the need to ensure the maintenance of the relationship since Stephanie has moved in. Sheldon's assertion of Stephanie's living status is news to Leonard, who doesn't believe she has indeed moved in. They get an objective third opinion: Penny too believes Stephanie has moved in. When Leonard finally comes to the realization that Stephanie has moved in, he asks Penny for advice on how to slow it down without ending the relationship. —Huggo",7.6,"Mon, Dec 8, 2008"
27,S2,E11,The Bath Item Gift Hypothesis,"Sheldon is angry at Penny because she bought him a Christmas gift. Sheldon now feels he has to reciprocate and go through the trouble of buying something for someone he doesn't really understand, all at the same price of the gift he is about to receive. Meanwhile, David Underhill, last year's MacArthur grant award winner based on his work which has basically rendered Leonard's recent work meaningless, is a new addition to the Physics department at Cal Tech. Regardless, Leonard is enthralled to be working with Dave, who is not only good looking, but Leonard learns is a Renaissance man. Upon their meeting, Dave is attracted to Penny, and vice versa, and they decide to date. Penny even pretends to be a science geek to impress him. Leonard is angry at Penny's hypocrisy, since she was scared that Leonard was too smart for her to date. Penny, however, has some more important news about her relationship with Dave. —Huggo",9.1,"Mon, Dec 15, 2008"
28,S2,E12,The Killer Robot Instability,"After Howard makes the latest in a long string of inappropriate comments to Penny in what he considers their courting ritual, Penny in return tells Howard in no uncertain terms that they are not dating nor ever will date. She makes a hurtful comment back to him. Depressed by Penny's comment, Howard retreats, not wanting to see or speak to anyone. This is bad timing for Leonard, Sheldon and Raj, who along with Howard, are entered into a killer robot competition. Being the engineer, Howard is the chief designer and builder of their entry, named MONTE (the mobile omnidirectional neutralization & termination eradicator). The stakes are even higher with a pre-competition ""robot to the death"" challenge by fellow nerd, Barry Kripke. Leonard pleads with Penny to apologize to Howard to get him out of his funk. —Huggo",7.8,"Mon, Jan 12, 2009"
29,S2,E13,The Friendship Algorithm,"Despite being unlikeable, Barry Kripke has someone who wants to be his friend: Sheldon. The only reason Sheldon wants to be his friend is to have access to the open science grid computer which Barry controls. Sheldon isn't having any luck befriending Barry in his usual friend making way, so he, approaching this task from his usual intellectual manner, asks his current friends to complete a questionnaire on why they are his friends. Still approaching the task on an intellectual level, Sheldon decides to use traditional friend making approaches, such as going out for food, for a hot beverage or to participate in a common interest. Sheldon has to find the right meeting point that offends his sensibilities the least. But does Sheldon have room in his life for one more friend, especially of the Barry variety? —Huggo",7.9,"Mon, Jan 19, 2009"
30,S2,E14,The Financial Permeability,"Penny is hiding from the building manager since she is behind in her rent due to some unforeseen bills and her hours being cut back at the restaurant. After she borrows money from Sheldon, who freely offered it to her, and after Leonard allows her to forgo paying for her share of their group meals, Penny begins to get agitated whenever the issue of money in whatever form is discussed. Since she is obviously stressed about her financial situation, Leonard looks over her finances, and sees one financial outlay which is a cause of most of the problem. Although he could get physically hurt by this action, Leonard decides to help Penny get this money back which is rightfully hers. —Huggo",8.0,"Mon, Feb 2, 2009"
31,S2,E15,The Maternal Capacitance,"Leonard is dreading a visit from his mother, famed scientific psychoanalyst Beverly Hofstadter. She has always driven Leonard crazy, much like Sheldon does now. It isn't surprising as Beverly and Sheldon are very much alike. Because of their similarities, Sheldon and Beverly hit it off. Beverly, however, extends her scientific psychoanalytical criticisms toward Howard, Raj and Penny, in addition to her son, the latter two who are driven to drink. In drowning their self-doubt in alcohol, Leonard and Penny have a special connection. Sheldon and Beverly also contemplate having a special connection. —Huggo",8.8,"Mon, Feb 9, 2009"
32,S2,E16,The Cushion Saturation,"During one of the more quiet moments of a paint-ball tournament where Leslie and Howard are alone in hiding waiting to be killed, they decide to make their final moment memorable by making out. This act is the beginning of a relationship of sorts between the two. Howard finds that one of the perks of being in a relationship with Leslie is that she has access to things at work that others don't, these things which she is willing to share with Howard, all at a time when the department budgets are being slashed around them. Howard learns that a relationship with Leslie has its gives and takes. Meanwhile, Penny accidentally shoot a paint-ball on Leonard and Sheldon's couch exactly on the spot where Sheldon sits. Will Sheldon notice that Penny has flipped the cushion over, and if he does, what will the collective do about fixing Sheldon's sitting spot both in the short term and the long term? —Huggo",8.1,"Mon, Mar 2, 2009"
33,S2,E17,The Terminator Decoupling,"Leonard, Sheldon, Howard and Raj are all taking a train trip to San Francisco to attend a symposium, at where the scheduled keynote speaker is Nobel Prize winning physicist Dr. George Smoot. Leonard, Howard and Raj, who all wanted to travel by plane instead, change their mind about taking the train when they see on board the beautiful Summer Glau, who they recognize from her role in Terminator: The Sarah Connor Chronicles (2008). Howard and Raj argue about who between the two has the right to hit on her, Raj who would need to take a trip to the bar car first. Meanwhile, Sheldon has forgotten an electronic file at the apartment he deems important for Dr. Smoot. After Leonard talks him out of getting off the train to go back to retrieve it, Sheldon decides on the slightly less abhorrent option of telephoning Penny to email it to him, which would entail Penny entering his (gasp) bedroom. —Huggo",8.0,"Mon, Mar 9, 2009"
34,S2,E18,The Work Song Nanocluster,"Based on a some products that she made previously and sold to friends at a nominal profit, Penny is contemplating starting a home-based business called Penny Blossoms, in which she would make and sell flower shaped hair barrettes. Penny asks Sheldon for advice on the business aspects so that she can possibly turn this venture into a full time job. Sheldon agrees if only on the stipulation that she must listen to everything he says and not to make any sarcastic remarks. She agrees. But when Leonard, Howard and Raj get wind of what Sheldon and Penny are up to, the four guys collectively can't help but provide more than their two-cents worth of advice about every aspect of the business. The advice turns to total control. Problems arise because they forgot internal communication between departments of the business is key to success. —Huggo",8.1,"Mon, Mar 16, 2009"
35,S2,E19,The Dead Hooker Juxtaposition,"In Sheldon's view, the tenants in the apartment directly above his and Leonard's are perfect neighbors since they never make any noise and he doesn't even know them. So he is horrified when he learns they are moving. Sheldon's fears are laid to rest when he questions the new tenant, Alicia, who is an aspiring actress like Penny and who answers all his questions on her living habits correctly to his specifications. Leonard, Howard and Raj, on the other hand, are more than happy as Alicia is a beautiful young woman. As Leonard, Howard and Raj fawn over Alicia, Penny becomes jealous. Penny does whatever she can to compete with Alicia and regain what she believes is the loss of her queen bee status within the group. But equally as important, Penny wants to expose Alicia's motives for her friendship with the guys. —Huggo",8.1,"Mon, Mar 30, 2009"
36,S2,E20,The Hofstadter Isotope,"It's ""Anything Can Happen Thursday"", the third Thursday in the month the guys have deemed the day to do something different to get out of their rut. Sheldon proposes that they go to the comic book store (as comic book store night is usually Wednesday). Penny tags along to buy a gift for her nephew. In addition to getting something for her nephew, she also gets something else: picked up, specifically by Stuart, the comic book store owner. Leonard has mixed emotions: he is buoyed by the fact that someone that is somewhat like him at first glance can get a girl like Penny, but is jealous that Penny picked Stuart instead of him. To get over this situation, Leonard, with Howard and Raj, decides to do what Howard suggested to get them out of their funk: go to a bar to pick up desperate women. —Huggo",7.9,"Mon, Apr 13, 2009"
37,S2,E21,The Vegas Renormalization,"Although he outwardly considered their relationship ""friends with benefits"" and as such had no emotional connotation, Howard is feeling dejected after he is dumped by Leslie Winkle. Thinking he needs to do something fun to get over Leslie, Leonard and Raj decide to drag Howard to Las Vegas for a weekend getaway. Once there, Leonard and Raj learn that it will take more than just fun they can conjure up to get Howard out of his depression. They resort to professional help. Meanwhile, Sheldon is expecting to have a peaceful weekend alone in the apartment. Having locked himself out and with no superintendent to let him in, Sheldon is forced to stay the weekend with a less than happy Penny. —Huggo",8.5,"Mon, Apr 27, 2009"
38,S2,E22,The Classified Materials Turbulence,"Despite how poorly their first and only date ended (albeit the poorness caused by Sheldon), Stuart and Penny are going out on a second date. Not wanting to screw things up, Stuart asks Leonard for advice on Penny's expectations of the date getting ""physical"". Penny also asks Leonard for advice on how to get Stuart to come out of his shyness shell. Leonard doesn't want Stuart and Penny's relationship to advance, but he doesn't want to lose either as friends. Leonard ends up giving Stuart what he considers some intentionally bad advice. Feeling guilty about it, he tries to find out what happened on their date so that he can clear his conscience. Meanwhile, Howard has completed the International Space Station's ""Wolowitz Zero Gravity Human Waste Disposal System"" (i.e. their toilet). After it's been deployed to the station, Howard realizes that he made an error in his calculations, and the system will fail within ten flushes. He has to figure out how to fix the problem only using materials available at the station (which he is having problems with) and how to implement the fix without embarrassment to himself.",8.1,"Mon, May 4, 2009"
39,S2,E23,The Monopolar Expedition,"Based on work that he has done, Sheldon has been chosen to go on a summer long expedition to the magnetic North Pole. Sheldon is in a conundrum. On the one hand, his work there could lead to a finding that would validate his primary project on string theory. On the other hand, the work is outside in a harsh environment. He tentatively agrees on the condition that Leonard, Howard and Raj accompany him as his support team. After discussing the extreme pros and the extreme cons, the three agree. The guys decide to use the restaurant's walk-in freezer to acclimatize themselves. This simulation is how Penny finds out about the trip. She seems a bit irked. Leonard also seems a bit irked that Penny doesn't seem more disappointed that he'll be gone for three months. After receiving a going away present from Penny, Leonard has second thoughts about going. He'll only know what to do after having a heart-to-heart with Penny. —Huggo",8.2,"Mon, May 11, 2009"
40,S3,E1,The Electric Can Opener Fluctuation,"Immediately upon the guys' arrival back from the three month long Arctic expedition, Leonard, Howard and Raj make a confession to Sheldon about their participation in Sheldon's research at the North Pole. This confession threatens Sheldon's research, his job and his friendship with the threesome. Sheldon's mother may at least have the answer to fixing the friendship. Meanwhile, Penny is really happy to see Leonard home. Leonard is equally happy to be home to see Penny. But every time they are about ready to embark on their first sexual encounter with each other, something always seems to get in the way. —Huggo",8.3,"Mon, Sep 21, 2009"
41,S3,E2,The Jiminy Conjecture,"After hearing a cricket chirping, Howard and Sheldon make a wager, the winner to get one of the other's favorite comic books. Their wager is on whether the cricket is a common field cricket (Howard's assertion) or a snowy tree cricket (Sheldon's assertion). To determine who wins the bet, first they have to find the cricket, second they have to capture the cricket, and third they have to decide who can make the ultimate determination. The person they choose is entomology Professor ""Creepy"" Crawley, who is facing some issues of his own. Meanwhile, Leonard and Penny eventually admit to each other that their first time together as lovers was less than thrilling. They have to figure out how to overcome this problem, or if not what to do about it. —Huggo",7.7,"Mon, Sep 28, 2009"
42,S3,E3,The Gothowitz Deviation,"Now that Leonard and Penny are dating, which means that Penny will be at the guys' apartment more often, Sheldon and Penny have to come to an understanding on how to get along better. Sheldon's approach is to use positive reinforcement, which he plans on using to ""train"" Penny. Meanwhile, Howard is sporting a new look in preparation for his and Raj's first night out to a goth bar. Miraculously, at the bar, Howard and Raj are picked up by two women named Bethany and Sarah (not that anyone cares about Sarah). The girls take the guys on an outing that may out the guys as being non-goth. —Huggo",8.1,"Mon, Oct 5, 2009"
43,S3,E4,The Pirate Solution,"It's Columbus Day and Thanksgiving is approaching, but Raj in particular is not in a thankful mood. His research stalled six months ago with no hope of success. With no job, his visa to stay in the United States becomes invalid which means that he will be deported back to India. Although Penny comes up with the obvious solution of Raj getting another job, jobs for astrophysicists are few and far between, with no guarantee of Raj even getting the job if there was one. With extra moneys just received from the university for his own research, Sheldon kind of offers Raj a job, but the nature of the offer is somewhat unclear, as would be Sheldon and Raj's working relationship. But a byproduct of Raj and Sheldon spending more time together is that Howard no longer has his best friend with who to hang out. So Howard decides to hang out with Leonard and Penny instead, who lose their much wanted alone time. —Huggo",8.0,"Mon, Oct 12, 2009"
44,S3,E5,The Creepy Candy Coating Corollary,"Howard reminds Leonard of a five-year-old pact between the two. Effectively, the pact stipulates that Penny has to set Howard up with one of her friends. Leonard has to tread lightly to ask Penny for this favor. A reluctant Penny does find someone, but she may regret it when she and Leonard go on a double date with them. Meanwhile, Raj tries to talk Sheldon into entering a $500 top prize Mystic Warlords of Ka'a tournament with him to be held at the comic book shop. Sheldon has no interest in entering because, with his eidetic memory, the game is no challenge. Sheldon changes his mind when he learns that Wil Wheaton, number six on his arch enemy list (Wil didn't show up for a scheduled appearance at a sci-fi convention that Sheldon attended in 1995), has entered. Sheldon's goal is to crush 'Wesley Crusher'. During the tournament, can Wil do anything to change Sheldon's mind about him? —Huggo",8.3,"Mon, Oct 19, 2009"
